RA,Dec,z,direction_cw_ccw
239.79991,42.13576,0.03869,-1
137.61431,3.34524,0.03874,-1
3.23639,0.42163,0.03874,-1
165.13421,5.00432,0.03875,1
215.68318,-1.0287,0.03877,-1
225.78237,44.17084,0.03879,-1
2.54572,0.005,0.03879,1
158.72626,3.99154,0.0388,1
226.13549,43.87761,0.03881,-1
243.82864,42.22552,0.03881,-1
2.66396,-0.05287,0.03881,1
166.88613,2.70941,0.03885,1
165.11803,4.17584,0.03889,1
2.53011,0.3285,0.03889,1
242.06551,42.70707,0.0389,1
162.47741,0.15904,0.03896,1
168.23452,0.16546,0.03896,1
3.55263,1.1695,0.03897,1
184.85244,-0.29407,0.03898,-1
3.72949,0.25227,0.03899,-1
173.13815,4.05701,0.03903,-1
170.42682,3.5735,0.03904,-1
167.24605,-0.76203,0.03905,-1
2.71719,-0.67006,0.03907,-1
358.51679,-0.98039,0.03908,1
165.3904,3.62932,0.03913,1
169.65596,3.76428,0.03922,1
241.02987,42.80849,0.03927,-1
179.6329,1.13195,0.0393,1
198.4486,-0.04558,0.03931,1
167.83897,3.83279,0.03934,1
198.53589,-0.4411,0.03935,-1
337.94289,0.05058,0.03935,1
137.29794,0.83543,0.03937,1
214.82198,-0.41276,0.03941,1
162.59497,0.23639,0.03942,-1
128.42119,2.17652,0.03943,-1
165.27683,4.58749,0.03947,1
171.60785,-1.87798,0.0395,1
183.17566,-2.02365,0.03951,1
185.08174,-0.52421,0.03951,1
169.7315,3.53535,0.03952,-1
170.30005,2.42759,0.03953,1
165.31918,3.56299,0.03959,-1
337.84351,0.05579,0.0396,1
185.29532,-0.50697,0.03961,-1
165.33837,3.04052,0.03963,-1
168.12268,3.78303,0.03967,1
235.56787,41.86368,0.03972,1
242.90651,44.57766,0.03976,-1
164.19044,3.71904,0.0398,-1
238.94851,44.66855,0.03988,-1
136.52104,-0.26036,0.03988,1
348.51758,0.64901,0.03988,1
172.06831,0.89135,0.03989,-1
177.93749,3.09584,0.03992,1
170.86512,1.73743,0.03993,-1
164.79753,1.8092,0.03994,1
236.46987,44.26319,0.03994,1
35.27165,-0.42646,0.03995,1
240.57603,43.34939,0.03998,1
237.69023,43.51476,0.04,-1
169.68581,3.70205,0.04001,-1
150.22832,0.59213,0.04001,1
168.51675,4.08859,0.04001,1
215.63336,0.84556,0.04002,1
165.64119,2.60653,0.04004,-1
189.95933,3.79701,0.04004,-1
169.84001,0.0359,0.04006,-1
198.2736,-0.59468,0.04006,-1
215.8112,0.97835,0.04007,1
172.86596,-0.09792,0.04011,-1
167.71628,3.53286,0.04011,1
168.03375,2.7692,0.04014,-1
169.94574,1.28932,0.04016,-1
170.58122,-0.62088,0.04016,-1
235.65428,44.0471,0.04016,1
2.19942,-0.62509,0.04017,-1
